中心词,别名,属性,属性内容
A族溶血性链球菌感染,风湿热，猩红热
, ,病情描述
, , ,病情
 , , , ,风湿热
 , , , ,    隐匿性
 , , , ,    风湿活动
 , , , ,    风湿热红斑
 , , , ,猩红热
 , , , ,    产科型
 , , , ,    轻型
 , , , ,    中毒型
 , , , ,    脓毒型
 , , , ,    外科型
, ,病情描述
, , ,并发症
 , , , ,心肌炎
, ,病程
 , , ,病程
 , , , ,急性
 , , , ,慢性
 , , , ,其他病程描述
 , , , ,    陈旧性
 , , , ,        后遗症
 , , , ,    慢性病程急性发作
 , , , ,    急性转慢性
 , , , ,    恢复期
 , , , ,    复发
 , , , ,    亚急性
泌尿系统憩室,泌尿系统憩室
, ,先天后天
 , , ,先天后天
 , , , ,先天性
 , , , ,后天性
, ,病情描述
, , ,病情
, ,左右
 , , ,左右双单
 , , , ,左侧
 , , , ,右侧
 , , , ,双侧
 , , , ,单侧
, ,部位
 , , ,泌尿系统
 , , , ,肾
 , , , ,    肾周组织
 , , , ,    肾盂
 , , , ,        肾盏
 , , , ,    肾皮质
 , , , ,    肾髓质
 , , , ,    肾囊
 , , , ,输尿管
 , , , ,膀胱
 , , , ,    膀胱颈
 , , , ,    膀胱三角区
 , , , ,    膀胱顶
 , , , ,    膀胱侧壁
 , , , ,    膀胱前壁
 , , , ,    膀胱后壁
 , , , ,    尿道内口
 , , , ,    输尿管口
 , , , ,尿道
 , , , ,    前尿道
 , , , ,    后尿道
 , , , ,    尿道旁腺
 , , , ,    尿道球腺
 , , , ,    尿道膜部
 , , , ,    尿道海绵体部
 , , , ,    尿道前列腺部
 , , , ,    尿道球部
 , , , ,    尿道阴道隔
 , , , ,其他泌尿系统
 , , , ,    上尿路
 , , , ,    下尿道
心脏Eisenmenger综合征,艾森曼格综合征，艾森门格综合征
, ,病情描述
, , ,病情
白喉杆菌感染,白喉，Diphtheria
, ,病情描述
, , ,病情
 , , , ,皮肤白喉
 , , , ,播散性白喉
 , , , ,膜性喉炎
 , , , ,喉气管炎
 , , , ,白喉性多神经炎
, ,部位
 , , ,咽喉
 , , , ,咽
 , , , ,    梨状窝
 , , , ,    鼻咽
 , , , ,        鼻咽上壁
 , , , ,        鼻咽顶
 , , , ,        鼻咽后壁
 , , , ,        鼻咽侧壁
 , , , ,        鼻中隔后缘
 , , , ,        鼻咽前壁
 , , , ,        鼻咽底部
 , , , ,        软腭的鼻咽后面
 , , , ,        软腭的鼻咽上面
 , , , ,        鼻后缘
 , , , ,        鼻后孔
 , , , ,        咽扁桃体
 , , , ,        咽隐窝
 , , , ,    口咽
 , , , ,        口咽侧壁
 , , , ,        口咽后壁
 , , , ,        口咽连接部
 , , , ,    悬雍垂
 , , , ,    舌腭弓
 , , , ,    咽旁间隙
 , , , ,    咽后间隙
 , , , ,扁桃腺
 , , , ,    腭扁桃体
 , , , ,    咽扁桃体
 , , , ,    舌扁桃体
 , , , ,喉
 , , , ,    喉软骨
 , , , ,        甲状软骨
 , , , ,        环状软骨
 , , , ,        杓状软骨
 , , , ,    会厌
 , , , ,    声门
 , , , ,        声门下
 , , , ,        声门上
 , , , ,舌骨
 , , , ,其他咽喉
 , , , ,    下咽
 , , , ,    喉咽
, ,感染病程
 , , ,感染病程
 , , , ,复发
 , , , ,再染
 , , , ,恢复期
 , , , ,带菌
 , , , ,潜伏期
 , , , ,接触暴露
肺百日咳杆菌感染,百日咳，Pertussis
, ,病情描述
, , ,病情
 , , , ,博德特杆菌属性百日咳
, ,鲍特菌
 , , ,鲍特菌
 , , , ,百日咳鲍特菌
 , , , ,支气管败血鲍特杆菌
 , , , ,副百日咳鲍特杆菌
, ,部位
 , , ,肺
 , , , ,左肺
 , , , ,    左上肺叶
 , , , ,        左肺上叶尖后段
 , , , ,        左肺上叶前段
 , , , ,        左肺上叶上舌段
 , , , ,        左肺上叶下舌段
 , , , ,    左下肺叶
 , , , ,        左肺下叶背段
 , , , ,        左肺下叶前内基底段
 , , , ,        左肺下叶外基底段
 , , , ,        左肺下叶后基底段
 , , , ,右肺
 , , , ,    右肺上叶
 , , , ,        右肺上叶尖段
 , , , ,        右肺上叶前段
