术语中心词	知识量	状态	责任人
佳静安定	7		
舒喘宁	6		
甲氧氯普胺	5		
氯丙嗪	5		
山豆碱	5		
安痛定	5		
脑益嗪	5		
士的宁	4		
格列本脲	4		
茶苯海明	4		
氨苄西林	4		
诺氟沙星	4		
呋喃妥因	4		
他莫息芬	4		
奋乃静	4		
对乙酰氨基酚	4		
痛可宁	4		
马兜铃	4		
苯乙哌啶酮	4		
安眠酮	4		
安宁	4		
奎硫平	4		
维甲酸	4		
哌替啶	3		
氯苯那敏	3		
氯美扎酮	3		
呋喃唑酮	3		
甲氨蝶呤	3		
乙酰唑胺	3		
间羟胺	3		
司可巴比妥	3		
安定	3		
氯氮卓	3		
西咪替丁	3		
多柔比星	3		
舒乐安定	3		
复方降压片	3		
麻黄碱	2		
曲马多	2		
维拉帕米	2		
异丙嗪	2		
阿洛西林	2		
苯唑西林	2		
异烟肼	2		
别嘌醇	2		
双嘧达莫	2		
单硝酸异山梨酯	2		
环孢素	2		
苯海索	2		
表柔比星	2		
来苏	2		
酒精	2		
甲氧西林	2		
氟西汀	1		
氟哌啶醇	1		
癸氟哌啶醇	1		
五氟利多	1		
利血平	1		
阿莫西林	1		
阿帕西林	1		
氟氯西林	1		
青霉素G	1		
青霉素V	1		
普罗帕酮	1		
阿米替林	1		
硝酸甘油	1		
氯胺酮	1		
普萘洛尔	1		
苯巴比妥	1		
氯氮平	1		
氟奋乃静	1		
癸氟奋乃静	1		
佐匹克隆	1		
硝基安定	1		
多虑平	1		
口服再水化盐	1		
泛影葡胺	1		
舒马普坦	0		
米安色林	0		
萘呋胺	0		
苯噻啶	0		
醋甲胆碱	0		
氯贝胆碱	0		
毛果芸香碱	0		
东莨菪碱	0		
山莨菪碱	0		
异丙东莨菪碱	0		
樟柳碱	0		
阿托品	0		
噻托溴铵	0		
氧托溴铵	0		
异丙托溴铵	0		
二氢麦角胺	0		
尼麦角林	0		
丁咯地尔	0		
克拉维酸	0		
舒巴坦	0		
他唑巴坦	0		
氨络酸	0		
加巴喷丁	0		
氨己烯酸	0		
普洛加胺	0		
普瑞巴林	0		
美普他酚	0		
葡萄糖	0		
磷酸肌酸	0		
三磷酸腺苷	0		
碘酸钾	0		
甘油磷酸钙	0		
氯化钙	0		
葡萄糖酸钙	0		
乳酸钙	0		
碳酸钙	0		
戊酮酸钙	0		
枸橼酸钾	0		
氯化钾	0		
门冬氨酸钾镁	0		
甘油磷酸钠	0		
氯化镁	0		
硫酸锌	0		
人血白蛋白	0		
聚明胶	0		
聚维酮	0		
羟乙基淀粉	0		
右旋糖酐	0		
氯化钠	0		
乳酸钠	0		
阿那曲唑	0		
福美坦	0		
来曲唑	0		
雷洛昔芬	0		
托瑞米芬	0		
依西美坦	0		
甲羟孕酮	0		
雷洛昔芬	0		
苦参总碱	0		
茜草双酯	0		
VitB4	0		
氨肽素	0		
茴香烯	0		
肌苷	0		
利血生	0		
千金藤素	0		
