术语中心词	知识量	状态	责任人
蓝氏贾第鞭毛虫	4		
动脉中层硬化	4		
静脉功能不全	3		
疲劳性	3		
人嗜T-淋巴病毒1型	3		
静脉炎	2		
克雷伯菌	2		
枪击伤	2		
冻伤	2		
化学烧伤	2		
HIV	2		
动脉肌纤维发育不良	2		
土拉弗朗西斯菌	2		
氢氧化钠化学伤	2		
再次感染	2		
骨折不连接	2		
离断	2		
逆转录病毒科	2		
雅司螺旋体	2		
挥鞭伤	2		
脱套伤	2		
静脉血栓形成	1		
甲型（α）溶血性链球菌	1		
乙型（β）溶血性链球菌	1		
脑膜炎奈瑟菌	1		
淋病奈瑟菌	1		
产气荚膜梭菌	1		
布鲁菌	1		
结核分枝杆菌	1		
动鞭纲（鞭毛虫）	1		
叶足纲（阿米巴）	1		
孢子纲（孢子虫）	1		
动基裂纲（纤毛虫）	1		
蛇毒	1		
虫毒	1		
微小病毒科	1		
肠道病毒	1		
浅表损伤	1		
绿脓杆菌	1		
大肠埃希杆菌	1		
鳞腺癌	1		
奴卡菌	1		
凝血酶阴性葡萄球菌	1		
Loboa结节孢子菌	1		
神经节瘤	1		
迟延愈合	1		
内毒素血症	1		
血栓静脉炎	1		
溺水	1		
功能异常	0		
呼吸	0		
通气	0		
换气	0		
循环	0		
休克	0		
凝血/纤溶	0		
凝血	0		
纤溶	0		
免疫	0		
过敏	0		
自身免疫	0		
感染后免疫	0		
血型不合	0		
免疫排斥	0		
生物电节律	0		
心电	0		
脑电	0		
肌电	0		
消化	0		
营养分解	0		
营养吸收	0		
营养转运	0		
分泌	0		
外分泌	0		
内分泌	0		
神经	0		
神经传导	0		
神经调节	0		
神经运动	0		
神经感觉	0		
运动	0		
骨骼肌运动	0		
口腔咬合	0		
平滑肌蠕动	0		
排便	0		
排尿	0		
痉挛	0		
震颤	0		
无力	0		
泌尿	0		
尿液生成	0		
尿液排泄	0		
代谢	0		
合成	0		
分解	0		
细胞增殖	0		
糖代谢	0		
糖原	0		
蛋白质/氨基酸代谢	0		
糖蛋白	0		
脂代谢	0		
肥胖	0		
脂肪变性	0		
脂质代谢	0		
胆固醇代谢	0		
脂蛋白	0		
磷脂	0		
维生素代谢	0		
水/酸碱/微量元素代谢	0		
系统功能	0		
器官功能	0		
细胞功能	0		
器质变化	0		
管腔狭窄性	0		
狭窄/梗阻	0		
套叠	0		
管腔扩张性	0		
扩张	0		
关闭不全	0		
憩室	0		
空洞	0		
质地变化	0		
实变	0		
纤维化	0		
钙化	0		
液化	0		
软化	0		
萎缩	0		
黑变	0		
畸形	0		
先天畸形	0		
后天畸形	0		
数目异常	0		
先天缺损	0		
位置异常	0		
关节脱位	0		
疝	0		
