术语中心词	知识量	状态	责任人
眼球壁中层	4		
牙	3		
骨盆	3		
多器官组织	3		
乳内动脉	3		
尿道球腺	3		
扁桃腺	2		
声门	2		
左肺下叶	2		
无名动脉	2		
腋窝	2		
乳牙牙列	2		
牙周	2		
颌下腺	2		
结肠	2		
颅神经	2		
耳廓	2		
内侧楔骨	2		
中间楔骨	2		
外侧楔骨	2		
颈部	2		
股骨头	2		
股骨颈	2		
股骨体	2		
股骨髁	2		
无名指	2		
小指	2		
主动脉根部	2		
第3颈椎	2		
桡骨远端	2		
桡骨近端	2		
髁突	2		
腋下	2		
尺骨远端	2		
尺骨近端	2		
颚垂	2		
胫腓近端关节	2		
尺骨体	2		
桡骨体	2		
跗横关节	2		
手内在肌	2		
咽隐窝	2		
直肠子宫陷凹	2		
乳突窦	2		
C5床段	2		
尾状核	2		
豆状核	2		
纹状体	2		
壳核	2		
苍白球	2		
屏状核	2		
杏仁体	2		
丘脑穿支动脉	2		
颞浅动脉	2		
肝动脉	2		
头臂静脉	2		
咽扁桃体	2		
十二指肠球部	2		
杓状软骨	2		
腹下丛	2		
腕韧带	2		
小腿外侧肌群	2		
呼吸/咽喉/纵膈	1		
上呼吸道	1		
鼻	1		
嗅觉器官	1		
鼻部骨骼	1		
鼻骨	1		
泪骨	1		
犁骨	1		
下鼻甲	1		
鼻腔	1		
鼻窦	1		
上颌窦	1		
筛窦	1		
额窦	1		
蝶窦	1		
咽喉	1		
鼻咽	1		
口咽	1		
会厌	1		
梨状窝	1		
悬雍垂	1		
甲状软骨	1		
舌骨	1		
肺外气管	1		
主气管	1		
气管隆突	1		
肺	1		
肺叶	1		
左肺	1		
左肺上叶	1		
左肺上叶尖后段	1		
左肺上叶前段	1		
左肺上叶上舌段	1		
左肺上叶下舌段	1		
左肺下叶背段	1		
左肺下叶前内基底段	1		
左肺下叶外基底段	1		
左肺下叶后基底段	1		
右肺	1		
右肺上叶	1		
右肺上叶尖段	1		
右肺上叶前段	1		
右肺上叶后段	1		
右肺中叶	1		
右肺中叶内段	1		
右肺中叶外段	1		
右肺下叶	1		
右肺下叶背段	1		
右肺下叶前基底段	1		
右肺下叶内基底段	1		
右肺下叶外基底段	1		
右肺下叶后基底段	1		
其他肺	1		
胸膜	1		
膈	1		
膈神经	1		
胸壁	1		
肋骨	1		
胸骨	1		
胸背部肌肉	1		
纵隔	1		
胸腺	1		
呼吸系统	1		
体液/免疫	1		
心脏	1		
心腔	1		
左心房	1		
右心房	1		
左心室	1		
右心室	1		
心内附属结构	1		
二尖瓣	1		
三尖瓣	1		
主动脉瓣	1		
肺动脉瓣	1		
其他心内结构	1		
传导系统	1		
窦房结	1		
房室结	1		
传导束	1		
心包	1		
血管	1		
心血管	1		
主动脉	1		
升主动脉	1		
主动脉弓	1		
降主动脉	1		
腔静脉	1		
上腔静脉	1		
下腔静脉	1		
主肺动脉	1		
主肺静脉	1		
冠状动脉	1		
冠状静脉	1		
外周主要动脉	1		
椎动脉	1		
面动脉	1		
腹腔干	1		
胃左动脉	1		
肝总动脉	1		
脾动脉	1		
肠系膜上动脉	1		
肠系膜下动脉	1		
髂动脉	1		
股动脉	1		
外周主要静脉	1		
肝静脉	1		
脾静脉	1		
肠系膜上静脉	1		
肠系膜下静脉	1		
髂静脉	1		
股静脉	1		
造血系统	1		
体液	1		
血液	1		
脑脊液	1		
胸水	1		
腹水	1		
其他体液	1		
血红蛋白	1		
红系细胞	1		
血小板系细胞	1		
凝血系统	1		
免疫系统	1		
淋巴系统	1		
区域淋巴	1		
颈部淋巴结	1		
颌下淋巴结	1		
锁骨上窝淋巴结	1		
腹股沟淋巴结	1		
乳糜池	1		
胸导管	1		
淋巴结	1		
脾	1		
粒系细胞	1		
中性粒细胞	1		
嗜酸性粒细胞	1		
嗜碱性粒细胞	1		
其他粒细胞	1		
淋巴系细胞	1		
B淋巴细胞	1		
T淋巴细胞	1		
浆细胞	1		
其他淋巴细胞	1		
消化系统	1		
口腔	1		
唇	1		
舌	1		
恒牙牙列	1		
牙髓	1		
颌部	1		
上颌骨	1		
下颌骨	1		
腭骨	1		
上颚	1		
下颚	1		
颞下颌关节	1		
唾液腺	1		
腮腺	1		
舌下腺	1		
上消化道	1		
食管	1		
胃	1		
贲门	1		
胃底	1		
胃体	1		
幽门	1		
肠道	1		
十二指肠	1		
小肠	1		
回盲部/阑尾	1		
升结肠	1		
结肠肝曲	1		
横结肠	1		
结肠脾曲	1		
降结肠	1		
乙状结肠	1		
直肠/肛门	1		
肝脏	1		
胆管	1		
胰腺（外分泌）	1		
腹膜	1		
腹壁	1		
神经系统/眼/耳	1		
脑	1		
大脑	1		
小脑	1		
间脑	1		
脊髓	1		
脊神经	1		
周围神经	1		
自主神经系统	1		
神经细胞	1		
特殊结构	1		
颅骨	1		
额骨	1		
顶骨	1		
颞骨	1		
枕骨	1		
蝶骨	1		
筛骨	1		
颧骨	1		
脊柱	1		
颈椎	1		
胸椎	1		
腰椎	1		
脑脊膜/颅腔	1		
椎管	1		
脑血管/静脉窦	1		
眼	1		
眼附属器官	1		
眼球壁外层	1		
眼底	1		
眼内容物	1		
眼球运功系统	1		
耳	1		
外耳	1		
外耳道	1		
中耳	1		
听小骨	1		
锤骨	1		
砧骨	1		
镫骨	1		
鼓膜	1		
鼓室	1		
咽鼓管	1		
内耳	1		
耳蜗	1		
半规管	1		
听神经	1		
其他神经系统	1		
运动	1		
上肢相关骨	1		
锁骨	1		
肩胛骨	1		
肱骨	1		
尺骨	1		
桡骨	1		
手骨	1		
腕骨	1		
手舟骨	1		
月骨	1		
三角骨	1		
豌豆骨	1		
大多角骨	1		
小多角骨	1		
头状骨	1		
钩骨	1		
掌骨	1		
指骨	1		
近节指骨	1		
中节指骨	1		
远节指骨	1		
下肢相关骨	1		
股骨	1		
髌骨	1		
胫骨	1		
腓骨	1		
足骨	1		
踝骨	1		
跟骨	1		
距骨	1		
足舟骨	1		
骰骨	1		
跖骨	1		
趾骨	1		
近节趾骨	1		
中节趾骨	1		
远节趾骨	1		
骶骨	1		
尾骨	1		
肌/腱	1		
筋膜	1		
腱鞘	1		
骨筋膜室	1		
上肢相关肌/腱	1		
手肌/腱	1		
下肢相关肌/腱	1		
足肌/腱	1		
关节	1		
关节软骨	1		
上肢相关关节	1		
手/腕关节	1		
下肢相关关节	1		
足/踝关节	1		
上肢相关神经	1		
臂丛	1		
腋神经	1		
胸长神经	1		
胸背神经	1		
下肢相关神经	1		
其他运动系统	1		
生殖系统	1		
泌尿系统	1		
肾	1		
肾盂	1		
肾周组织	1		
肾素/血管紧张素	1		
输尿管	1		
下尿路	1		
膀胱	1		
尿道	1		
尿道旁腺	1		
其他内分泌系统	1		
下丘脑/垂体	1		
垂体激素	1		
下丘脑激素	1		
颅咽管	1		
甲状腺/甲状旁腺	1		
甲状腺素	1		
降钙素	1		
肾上腺	1		
皮质醇	1		
醛固酮	1		
胰腺（内分泌）	1		
胰岛素	1		
胰高血糖素	1		
男性生殖	1		
鞘膜	1		
睾丸	1		
雄激素	1		
附睾	1		
输精管	1		
精索	1		
精囊	1		
前列腺	1		
男性外阴	1		
阴茎	1		
阴囊	1		
海绵体	1		
女性生殖	1		
卵巢	1		
雌激素	1		
卵子	1		
输卵管	1		
子宫	1		
子宫颈	1		
子宫附件	1		
子宫内膜	1		
女性外阴	1		
阴道	1		
前庭大腺	1		
胎儿相关	1		
受精卵	1		
胚胎	1		
胎儿	1		
胎盘相关	1		
胎盘	1		
脐带	1		
羊膜	1		
羊水	1		
其他生殖系统	1		
其他	1		
皮肤及皮肤附属器	1		
毛发	1		
甲	1		
汗腺	1		
皮脂腺	1		
伤口	1		
外伤伤口	1		
手术切口	1		
排泄物	1		
尿液	1		
汗液	1		
粪便	1		
引流液	1		
头面部	1		
躯干	1		
四肢	1		
组织	1		
细胞	1		
细胞器	1		
生物酶	1		
有机大分子	1		
无明确部位	1		
未确定部位	1		
能力	1		
记忆	1		
定向	1		
语言	1		
认知	1		
行为	1		
精神	1		
中医	1		
锁骨下动脉	1		
喉	1		
左主干LM	1		
右冠脉RCA	1		
前降支LAD	1		
左旋支LCX	1		
左室前支	1		
右室前支	1		
室间隔前支	1		
钝缘支OM	1		
左室后支	1		
窦房结支	1		
心房支	1		
左房旋支	1		
对角支D	1		
后降支PDA	1		
右旋支	1		
房室结支	1		
锐缘支AM	1		
右圆锥支	1		
后突	1		
距骨颈	1		
距骨体	1		
距骨头	1		
胸部淋巴分组	1		
